iter	Passed	Remaining
0	346	62388
1	1043	93431
2	1715	101791
3	2455	108650
4	3155	111070
5	3846	112191
6	4571	113634
7	5245	113439
8	5915	113055
9	6592	112734
10	7265	112284
11	7933	111729
12	8610	111273
13	9278	110684
14	9942	110035
15	9946	102573
16	10295	99316
17	11089	100421
18	11839	100949
19	13122	105638
20	14578	111071
21	16003	115661
22	17222	118311
23	18384	120264
24	19518	121797
25	20704	123430
26	21926	125065
27	22731	124209
28	23468	123007
29	24215	121883
30	24979	120869
31	25764	119966
32	26535	119006
33	27231	117736
34	27905	116407
35	28074	113079
36	28758	111924
37	29444	110802
38	30142	109749
39	30839	108709
40	31515	107613
41	32189	106530
42	32884	105534
43	33577	104547
44	34256	103529
45	34988	102682
46	35645	101628
47	36308	100604
48	36971	99597
49	37636	98606
50	38330	97704
51	38664	95916
52	39326	94976
53	40004	94083
54	40719	93284
55	41407	92427
56	41566	90426
57	42236	89571
58	42932	88776
59	43661	88051
60	44375	87296
61	45081	86527
62	45780	85747
63	46468	84950
64	47176	84191
65	47870	83410
66	48602	82696
67	49278	81888
68	49968	81107
69	50048	79363
70	50766	78651
71	51454	77895
72	52123	77113
73	52806	76354
74	53480	75585
75	54173	74845
76	54868	74108
77	55542	73344
78	56213	72579
79	56879	71810
80	57546	71045
81	58207	70274
82	58869	69508
83	59544	68760
84	60230	68025
85	60934	67311
86	61605	66561
87	62271	65809
88	62954	65076
89	63722	64430
90	64441	63733
91	65184	63058
92	65899	62356
93	66823	61846
94	67526	61129
95	68231	60413
96	69002	59754
97	69968	59258
98	70793	58636
99	71645	58033
100	72822	57681
101	74057	57358
102	74993	56791
103	75868	56171
104	76671	55495
105	77478	54819
106	78208	54088
107	78969	53377
108	79735	52669
109	80501	51960
110	81218	51219
111	81922	50470
112	82675	49751
113	83413	49024
114	84219	48334
115	84932	47591
116	85625	46837
117	86290	46070
118	86981	45317
119	87669	44565
120	88374	43821
121	89040	43060
122	89744	42318
123	90488	41595
124	91266	40887
125	92017	40166
126	92735	39430
127	93455	38696
128	94204	37974
129	94927	37240
130	95631	36500
131	96353	35767
132	97073	35034
133	97823	34311
134	98535	33574
135	99249	32839
136	99945	32099
137	100704	31378
138	101433	30648
139	102144	29913
140	102875	29184
141	103553	28440
142	104267	27707
143	104931	26961
144	105616	26222
145	106312	25485
146	107023	24753
147	107695	24013
148	108362	23272
149	109050	22537
150	109730	21800
151	110431	21069
152	111122	20336
153	111799	19601
154	112472	18866
155	113170	18136
156	113860	17405
157	114611	16684
158	115329	15957
159	116026	15228
160	116189	14433
161	116857	13705
162	117654	12992
163	117935	12225
164	119105	11549
165	120237	10864
166	121459	10182
167	122574	9484
168	123681	8782
169	124841	8077
170	125997	7368
171	127099	6650
172	127987	5918
173	128703	5177
174	129410	4436
175	130105	3696
176	130815	2956
177	131489	2216
178	132170	1476
179	132856	738
180	133540	0
